event,subtheme,dimension,value
Photography Exhibition,consumption,economy,2
Rialto Market Events,consumption,economy,1
Venice Artist Residencies,consumption,economy,5
Venice Fashion Week,consumption,economy,4
Venice Glass Week,consumption,economy,3
Venice Food Festival,local_business,economy,1
Biennale Danza,local_business,economy,1
Carnival,local_business,economy,1
Open Studio Venice,local_business,economy,5
Venice Glass Week,local_business,economy,1
Open Studio Venice,community_economy,economy,2
Architecture Biennale,commercialization,economy,1
Art Biennale,commercialization,economy,1
Art Biennale,creative_industry,economy,2
Carnival,creative_industry,economy,2
Open Studio Venice,creative_industry,economy,3
Photography Exhibition,creative_industry,economy,1
Venice Fashion Week,creative_industry,economy,1
Venice Glass Week,creative_industry,economy,2
Architecture Biennale,urban_regeneration,economy,3
Carnival,urban_regeneration,economy,1
Venice Fashion Week,urban_regeneration,economy,1
Architecture Biennale,infrastructure,economy,6
Art Biennale,infrastructure,economy,1
Carnival,infrastructure,economy,1
Marathon,infrastructure,economy,2
Open Studio Venice,infrastructure,economy,2
Rialto Market Events,infrastructure,economy,1
Venice Artist Residencies,infrastructure,economy,2
Venice Fashion Week,infrastructure,economy,2
Venice Glass Week,infrastructure,economy,3
MOSE Open Day,infrastructure,economy,1
Architecture Biennale,lagoon,environment,3
Art Biennale,lagoon,environment,3
Carnival,lagoon,environment,2
Fondazione Venezia,lagoon,environment,1
Marathon,lagoon,environment,1
Open Studio Venice,lagoon,environment,2
Rialto Market Events,lagoon,environment,1
Venice Artist Residencies,lagoon,environment,1
Venice Fashion Week,lagoon,environment,3
Venice Glass Week,lagoon,environment,1
Festa del Redentore,lagoon,environment,1
Festa della Sensa,lagoon,environment,1
Vogalonga,lagoon,environment,1
Giants of the Lagoon,lagoon,environment,1
Regata Storica,lagoon,environment,1
MOSE Open Day,flooding,environment,1
Architecture Biennale,flooding,environment,3
Art Biennale,flooding,environment,2
Carnival,flooding,environment,2
Venice Artist Residencies,flooding,environment,2
Venice Fashion Week,flooding,environment,1
Architecture Biennale,climate,environment,8
Art Biennale,climate,environment,1
Carnival,climate,environment,2
Open Arsenale,climate,environment,2
Venice Artist Residencies,climate,environment,1
Venice Glass Week,climate,environment,1
Acqua Alta Cultural Practices,climate,environment,1
MOSE Open Day,adaptation,environment,1
Architecture Biennale,adaptation,environment,3
Open Studio Venice,adaptation,environment,3
Photography Exhibition,adaptation,environment,1
Rialto Market Events,adaptation,environment,1
Venice Artist Residencies,adaptation,environment,1
Venice Fashion Week,adaptation,environment,4
Venice Glass Week,adaptation,environment,1
Giants of the Lagoon,adaptation,environment,1
Architecture Biennale,landscape,environment,12
Art Biennale,landscape,environment,3
Biennale Musica,landscape,environment,1
Carnival,landscape,environment,4
Marathon,landscape,environment,3
Open Arsenale,landscape,environment,2
Open Studio Venice,landscape,environment,6
Photography Exhibition,landscape,environment,5
Rialto Market Events,landscape,environment,2
Venice Artist Residencies,landscape,environment,3
Venice Fashion Week,landscape,environment,4
Venice Glass Week,landscape,environment,4
Architecture Biennale,canal_network,environment,3
Art Biennale,canal_network,environment,6
Carnival,canal_network,environment,3
Jewish Venice Festival,canal_network,environment,17
Marathon,canal_network,environment,4
Open Arsenale,canal_network,environment,1
Open Studio Venice,canal_network,environment,2
Photography Exhibition,canal_network,environment,2
Rialto Market Events,canal_network,environment,1
Venice Artist Residencies,canal_network,environment,8
Venice Fashion Week,canal_network,environment,3
Venice Glass Week,canal_network,environment,1
Blessing of the Gondolas,canal_network,environment,1
Architecture Biennale,sustainability,environment,11
Art Biennale,sustainability,environment,2
Carnival,sustainability,environment,2
Marathon,sustainability,environment,1
Photography Exhibition,sustainability,environment,2
Rialto Market Events,sustainability,environment,1
Venice Artist Residencies,sustainability,environment,1
Venice Fashion Week,sustainability,environment,6
Venice Glass Week,sustainability,environment,2
Vogalonga,resilience,environment,1
Giants of the Lagoon,resilience,environment,1
Architecture Biennale,resilience,environment,4
Art Biennale,resilience,environment,2
Photography Exhibition,resilience,environment,2
Rialto Market Events,resilience,environment,1
Venice Artist Residencies,resilience,environment,3
Venice Fashion Week,resilience,environment,2
Venice Glass Week,resilience,environment,1
Vogalonga,public_space_ownership,politics,1
Architecture Biennale,public_space_ownership,politics,4
Carnival,public_space_ownership,politics,1
Open Arsenale,public_space_ownership,politics,1
Open Studio Venice,public_space_ownership,politics,1
Venice Fashion Week,public_space_ownership,politics,7
Venice Glass Week,public_space_ownership,politics,1
Festa del Redentore,public_space_ownership,politics,1
Open Studio Venice,immigration,politics,6
Rialto Market Events,immigration,politics,1
Venice Artist Residencies,immigration,politics,1
Venice Glass Week,immigration,politics,3
Festa della Sensa,civic_identity,politics,1
Art Biennale,civic_identity,politics,2
Carnival,civic_identity,politics,1
Open Studio Venice,civic_identity,politics,1
Venice Artist Residencies,civic_identity,politics,1
Venice Fashion Week,civic_identity,politics,1
Venice Glass Week,civic_identity,politics,1
Feast of St. George,civic_identity,politics,1
Architecture Biennale,governance,politics,1
Carnival,governance,politics,1
Open Studio Venice,governance,politics,4
Rialto Market Events,governance,politics,1
Venice Artist Residencies,governance,politics,2
Venice Fashion Week,governance,politics,1
Venice Glass Week,governance,politics,1
MOSE Open Day,governance,politics,1
Architecture Biennale,community_displacement,politics,2
Art Biennale,community_displacement,politics,1
Carnival,community_displacement,politics,3
Venice Artist Residencies,community_displacement,politics,1
Art Biennale,cultural_conflict,politics,2
Carnival,cultural_conflict,politics,1
Open Studio Venice,cultural_conflict,politics,1
Photography Exhibition,cultural_conflict,politics,1
Rialto Market Events,cultural_conflict,politics,1
Venice Artist Residencies,cultural_conflict,politics,1
Venice Fashion Week,cultural_conflict,politics,1
Venice Glass Week,cultural_conflict,politics,1
